title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal,compound,tweet_count
#StarWarsTheLastJedi,Action,20171213,PG-13,83.67,200000000,220009584,619483244,1321513738,1.10004792,1.2504836247679552,2.5208947287770225,5.8594181404586525,125.49500663446229,-0.0048690000000000035,100
#Logan,Action,20170303,R,83.67,127000000,88411916,226277068,615577068,0.6961568188976378,1.2504836247679552,1.2860772625901982,2.0026355250018244,76.15751382712558,0.170142,100
#TheShapeofWater,Drama,20171201,R,85.33,19500000,166564,60940802,148340802,0.00854174358974359,1.3328023088571077,-0.5323183211780705,-0.5836043731737907,0.4874496003058149,0.22022200000000003,100
#BabyDriver,Thriller/Suspense,20170628,R,85.33,34000000,20553320,107825862,228104185,0.6045094117647059,1.3328023088571077,-0.2870463587163041,0.01387799350735884,61.52445311362611,0.208796,100
#PhantomThread,Drama,20171225,R,87.0,35000000,216495,20713025,41413025,0.006185571428571428,1.4156168886335443,-0.27013105096032025,-0.5821410264770059,0.5997609275763551,0.18218299999999998,100
#ThreeBillboardsOutsideEbbingMissouri,Comedy,20171110,R,87.67,12000000,322168,53339205,142339205,0.02684733333333333,1.4488418996815762,-0.6591831293479498,-0.5790440279091957,2.3163040478485684,0.40117900000000006,100
#Coco,Musical,20171122,PG,87.67,175000000,50802605,208845284,739188107,0.29030059999999996,1.4488418996815762,2.098012034877425,0.9004052267862874,34.37772438813158,0.298744,100
#BlackPanther,Action,20180216,PG-13,88.0,200000000,202003951,561697180,1078297180,1.010019755,1.46520645736195,2.5208947287770225,5.331720245882772,115.65151717790451,0.09404,100
#Dunkirk,Action,20170721,PG-13,89.0,150000000,50513488,188373161,499518504,0.3367565866666667,1.5147960260903552,1.6751293409778276,0.8919319655470909,38.64944796482904,0.190934,100
#LadyBird,Drama,20171103,R,89.67,10000000,364437,48701472,64901472,0.036443699999999996,1.548021037138387,-0.6930137448599176,-0.5778052343435472,3.3437668235913747,0.261984,100
#BeautyandtheBeast,Musical,20170317,G,89.67,160000000,174750616,504014165,1263109573,1.09219135,1.548021037138387,1.8442824185376667,4.532996452074958,121.67743135982596,0.23569999999999997,100
#Baahubali2TheConclusion,Action,20170428,NOT RATED,92.0,30000000,10430497,18985794,263585794,0.3476832333333333,1.6635647322755711,-0.3547075897402397,-0.28279540777013595,35.5115896603284,0.4598,8
