title,genre,release,rated,value,budget,opening,domestic,worldwide,ratio,zrating,zbudget,zopening,ztotal
#Sleepless,Thriller/Suspense,20170112,R,37.67,30000000,8344128,20783704,27224309,0.2781376,-1.030078267515757,-0.3547075897402397,-0.3439414129457599,-1.2382558831475166
#AllEyezonMe,Drama,20170616,R,37.67,45000000,26435354,44922302,54876855,0.5874523111111111,-1.030078267515757,-0.1009779734004813,0.18626498804533187,1.003830668507759
#TheShack,Drama,20170303,PG-13,38.0,20000000,16172119,57386418,96938619,0.80860595,-1.013702028071045,-0.5238606673000786,-0.1145235208083969,0.6592081130120826
#TheBookofHenry,Drama,20170616,PG-13,38.67,10000000,1424540,4288104,4379905,0.142454,-0.9804532995014775,-0.6930137448599176,-0.5467363948790543,-2.339577834119504
#FistFight,Comedy,20170217,R,39.67,25000000,12201873,32187017,40287017,0.48807492,-0.9308283314871981,-0.4392841285201592,-0.23088102154987666,-0.3676497431071106
#The1517toParis,Drama,20180209,PG-13,40.0,30000000,12554286,35772875,53172875,0.4184762,-0.914452092042486,-0.3547075897402397,-0.2205527205053552,-0.4548365227934361
#Snatched,Comedy,20170512,R,41.67,42000000,19542248,45852178,57852177,0.46529161904761906,-0.8315783954586392,-0.15172389666843297,-0.01575387590065503,0.38106481321447494
#ABadMomsChristmas,Comedy,20171101,R,42.0,28000000,16759161,72110659,127710659,0.5985414642857143,-0.815202156013927,-0.3885382052522075,-0.09731885894354525,0.39724631370391794
#MonsterTrucks,Adventure,20170113,PG,43.0,125000000,10950705,33370166,61681268,0.08760564,-0.7655771879996476,1.2522466470782303,-0.2675494752143891,0.21438742864980453
#HomeAgain,Comedy,20170908,PG-13,43.33,15000000,8567881,27020284,37337061,0.5711920666666667,-0.7492009485549355,-0.6084372060799981,-0.33738379916983563,-0.3188295529746048
#Jigsaw,Horror,20171027,R,44.0,10000000,16640452,38052832,102630330,1.6640452,-0.7159522199853681,-0.6930137448599176,-0.10079790849249519,3.3815738181697235
#PitchPerfect3,Comedy,20171221,PG-13,44.33,45000000,19928525,104897530,184554107,0.4428561111111111,-0.699575980540656,-0.1009779734004813,-0.004433109803562664,0.5191481597850708
#Judwaa2,Action,20170929,N/A,45.0,10000000,638045,1431255,26797432,0.0638045,-0.6663272519710887,-0.6930137448599176,-0.5697865012315751,-2.307500499294157
#PiratesoftheCaribbeanDeadMenTellNoTales,Adventure,20170526,PG-13,45.33,230000000,62983253,172558876,794758876,0.2738402304347826,-0.6499510125263765,3.0283539614565393,1.2573880834384203,5.714699807111351
#SmurfsTheLostVillage,Adventure,20170407,PG,45.33,60000000,13210449,45020282,197268034,0.22017415,-0.6499510125263765,0.1527516429392771,-0.20132230335764406,-0.23932152630238757
#WonderWheel,Drama,20171201,PG-13,45.67,10000000,125570,1403237,7969645,0.012557,-0.6330785234015213,-0.6930137448599176,-0.5848057998323394,-2.4580328679261174
#KingArthurLegendoftheSword,Adventure,20170512,PG-13,46.0,175000000,15371270,39175066,140012608,0.08783582857142858,-0.6167022839568091,2.098012034877425,-0.1379943052664162,1.468828626102069
#TheGreatWall,Action,20170217,PG-13,46.0,150000000,18469620,45157105,334550106,0.1231308,-0.6167022839568091,1.6751293409778276,-0.047189790276069545,1.3334398764688795
